Rank,Institution,Conference,Accum Attendance,Avg Attendance,Stadium Capacity,Pct Capacity,Games
1,Kentucky,SEC,"355,165","19,731","20,500",96.25,18
2,North Carolina,ACC,"350,988","19,499","21,750",89.65,18
3,Arkansas,SEC,"338,334","18,796","19,200",97.9,18
4,Tennessee,SEC,"327,265","19,251","21,678",88.8,17
5,Syracuse,ACC,"319,063","17,726","30,219",58.66,18
6,Indiana,Big Ten,"282,193","15,677","17,222",91.03,18
7,NC State,ACC,"277,802","16,341","19,700",82.95,17
8,BYU,Big 12,"271,098","18,073","18,003",100.39,15
9,Creighton,Big East,"266,176","16,636","17,352",95.87,16
10,Nebraska,Big Ten,"264,077","14,671","15,000",97.81,18
11,Louisville,ACC,"261,727","15,396","22,090",69.7,17
12,Wisconsin,Big Ten,"258,908","15,230","15,511",98.19,17
13,Illinois,Big Ten,"253,630","14,919","15,544",95.98,17
14,Purdue,Big Ten,"252,892","14,876","14,876",100,17
15,Michigan St.,Big Ten,"251,549","14,797","14,797",100,17
16,Marquette,Big East,"246,249","14,485","17,500",82.77,17
17,Kansas,Big 12,"244,907","15,307","15,300",100.04,16
18,Arizona,Big 12,"243,051","14,297","14,688",97.34,17
19,New Mexico,Mountain West,"242,658","12,133","15,411",78.73,20
20,Iowa St.,Big 12,"238,866","14,051","14,267",98.49,17
21,Dayton,Atlantic 10,"238,363","13,242","13,407",98.77,18
22,St. John's (NY),Big East,"222,658","13,098","5,602",233.8,17
23,Virginia,ACC,"219,044","12,885","14,623",88.11,17
24,UConn,Big East,"216,211","12,718","10,244",124.15,17
25,Texas Tech,Big 12,"211,741","13,234","15,098",87.65,16
26,South Carolina,SEC,"205,137","10,797","18,000",59.98,19
27,West Virginia,Big 12,"199,438","11,080","14,000",79.14,18
28,Alabama,SEC,"199,044","13,270","13,474",98.48,15
29,Maryland,Big Ten,"193,326","12,888","17,300",74.5,15
30,Iowa,Big Ten,"191,759","11,280","14,988",75.26,17
31,Ohio St.,Big Ten,"191,284","11,252","19,049",59.07,17
32,Michigan,Big Ten,"188,180","12,545","12,707",98.73,15
33,Missouri,SEC,"186,822","10,379","15,061",68.91,18
34,San Diego St.,Mountain West,"185,066","11,567","12,414",93.17,16
35,Texas,SEC,"184,193","10,835","10,763",100.67,17
36,Cincinnati,Big 12,"177,329","9,852","12,012",82.01,18
37,Xavier,Big East,"174,266","9,681","10,224",94.69,18
