School,Mascot,Arena,Hex,Hex2,Lat,Lon,Furthest_Round,Capacity,Avg_Attendance
Syracuse,Orange,JMA Wireless Dome,#000e54,#ff431b,43.0363,-76.1364,362,35446,17726
Louisville,Cardinals,KFC Yum! Center,#c9001f,#ffffff,38.2577,-85.7539,362,22090,15396
North Carolina,Tar Heels,Dean Smith Center,#7bafd4,#13294b,35.8995,-79.0438,362,21750,19499
Tennessee,Volunteers,Thompson–Boling Arena,#ff8200,#ffffff,35.9512,-83.925,362,21678,19251
Kentucky,Wildcats,Rupp Arena,#0033a0,#ffffff,38.0494,-84.5024,362,20545,19731
Georgetown,Hoyas,Capital One Arena,#110E42,#001c58,38.8982,-77.0209,362,20308,5862
St. John's,Red Storm,Madison Square Garden,#d10000,#101010,40.7505,-73.9935,362,19812,13098
NC State,Wolfpack,Lenovo Center,#cc0000,#ffffff,35.8034,-78.7219,362,19500,16341
Arkansas,Razorbacks,Bud Walton Arena,#a32136,#ffffff,36.0616,-94.1781,362,19368,18796
BYU,Cougars,Marriott Center,#0047ba,#002e5d,40.2539,-111.6493,362,19000,18073
Ohio State,Buckeyes,Value City Arena,#ba0c2f,#a8adb4,40.0076,-83.025,362,18809,11252
UNLV,Rebels,Thomas & Mack Center,#cf0a2c,#cac8c8,36.1049,-115.1443,362,18776,5374
Seton Hall,Pirates,Prudential Center,#0857B1,#8a8d8f,40.7334,-74.1711,362,18711,7009
Creighton,Bluejays,CHI Health Center Omaha,#005ca9,#6cadde,41.2637,-95.9279,362,18320,16636
Memphis,Tigers,FedExForum,#004991,#8e908f,35.1382,-90.0507,362,18119,9608
South Carolina,Gamecocks,Colonial Life Arena,#73000a,#000000,33.9948,-81.0374,362,18000,10797
Indiana,Hoosiers,Simon Skjodt Assembly Hall,#970310,#ffffff,39.1809,-86.5223,362,17472,15677
Marquette,Golden Eagles,Fiserv Forum,#003366,#ffcc00,43.045,-87.9175,362,17385,14485
Maryland,Terrapins,Xfinity Center,#ce1126,#ffffff,38.9956,-76.9413,362,17300,12888
Wisconsin,Badgers,Kohl Center,#a00000,#ffffff,43.0694,-89.3969,362,17249,15230
Fresno State,Bulldogs,Save Mart Center at Fresno State,#b1102b,#13284c,36.821,-119.7373,362,15596,4409
Illinois,Fighting Illini,State Farm Center,#ff5f05,#13294b,40.0963,-88.2359,362,15544,14919
Iowa,Hawkeyes,Carver–Hawkeye Arena,#231f20,#fcd116,41.664,-91.5545,362,15500,11280
New Mexico,Lobos,The Pit,#ba0c2f,#a7a8aa,35.0667,-106.6322,362,15411,12133
Alabama,Crimson Tide,Coleman Coliseum,#9e1b32,#ffffff,33.2027,-87.5397,362,15383,13270
Kansas,Jayhawks,Allen Fieldhouse,#0051ba,#e8000d,38.9543,-95.2528,362,15300,15307
Texas Tech,Red Raiders,United Supermarkets Arena,#da291c,#000000,33.5813,-101.8866,362,15300,13234
Penn State,Nittany Lions,Bryce Jordan Center,#061440,#ffffff,40.8086,-77.8555,362,15261,5828
Siena,Saints,MVP Arena,#037961,#eea60f,42.6486,-73.7547,362,15229,5149
Nebraska,Cornhuskers,Pinnacle Bank Arena,#e31937,#ffffff,40.8179,-96.7125,362,15147,14671
Missouri,Tigers,Mizzou Arena,#f1b82d,#000000,38.9325,-92.3337,362,15061,10379
Utah,Utes,Jon M. Huntsman Center,#be0000,#ffffff,40.762,-111.8388,362,15000,7209
Purdue,Boilermakers,Mackey Arena,#ceb888,#000000,40.4333,-86.9162,362,14848,14876
Michigan State,Spartans,Breslin Student Events Center,#173f35,#ffffff,42.7282,-84.492,362,14797,14797
Arizona,Wildcats,McKale Center,#cc0033,#003366,32.2304,-110.946,362,14688,14297
Minnesota,Golden Gophers,Williams Arena,#5e0a2f,#fab41c,44.977,-93.2283,362,14625,8663
Virginia,Cavaliers,John Paul Jones Arena,#f84c1e,#232d4b,38.046,-78.5066,362,14593,12885
Wake Forest,Demon Deacons,Lawrence Joel Veterans Memorial Coliseum,#ceb888,#2c2a29,36.1278,-80.2578,362,14407,6776
Vanderbilt,Commodores,Memorial Gymnasium,#000000,#cfae70,36.1445,-86.8073,362,14316,9280
Iowa State,Cyclones,Hilton Coliseum,#ae192d,#ffc72a,42.021,-93.6348,362,14267,14051
